id,method,path,area,purpose,auth_required,audit_log
API-037,POST,/api/pipelines/stop-all,pipelines,bulk stop all,yes,yes
API-038,GET,/api/pipelines/:id/jobs,pipelines,pipeline job history,yes,yes
API-039,GET,/api/correlation/state,cross-correlation,daemon status,yes,yes
API-040,GET,/api/correlation/sources,cross-correlation,scrape source list,yes,yes
API-041,POST,/api/correlation/run,cross-correlation,run now,yes,yes
API-042,POST,/api/correlation/pause,cross-correlation,pause,yes,yes
API-043,POST,/api/correlation/stop,cross-correlation,stop,yes,yes
API-044,POST,/api/correlation/rebuild-index,cross-correlation,rebuild index,yes,yes
API-045,POST,/api/correlation/reconcile,cross-correlation,reconcile duplicates,yes,yes
API-046,GET,/api/correlation/conflicts,cross-correlation,current conflicts,yes,yes
API-047,GET,/api/correlation/entities/:id,cross-correlation,entity detail,yes,yes
API-048,POST,/api/correlation/entities/:id/merge,cross-correlation,merge canonical entity,yes,yes
API-049,GET,/api/knowledge/ontology,knowledge,ontology counts,yes,yes
API-050,GET,/api/knowledge/just-learned,knowledge,new facts,yes,yes
API-051,GET,/api/knowledge/topics/newest,knowledge,newest topics,yes,yes
API-052,GET,/api/knowledge/graph,knowledge,graph data,yes,yes
API-053,GET,/api/coding/tasks,coding,coding task queue,yes,yes
API-054,POST,/api/coding/tasks,coding,create coding task,yes,yes
API-055,POST,/api/coding/tasks/:id/approve,coding,approve task/action,yes,yes
API-056,POST,/api/coding/tasks/:id/queue,coding,queue task,yes,yes
API-057,POST,/api/coding/tasks/:id/auto-continue,coding,enable auto-continue if policy passes,yes,yes
API-058,POST,/api/coding/tasks/:id/request-review,coding,request human review,yes,yes
API-059,GET,/api/coding/files,coding,safe file browser,yes,yes
API-060,GET,/api/coding/diff/:taskId,coding,diff preview,yes,yes
API-061,POST,/api/coding/terminal,coding,guarded terminal command,yes,yes
API-062,POST,/api/voice/session/start,voice,start listening,yes,yes
API-063,POST,/api/voice/session/stop,voice,stop listening,yes,yes
API-064,POST,/api/voice/transcribe,voice,speech to text,yes,yes
API-065,POST,/api/voice/speak,voice,text to speech,yes,yes
API-066,GET,/api/alerts,alerts,alerts list,yes,yes
API-067,POST,/api/alerts/:id/ack,alerts,acknowledge alert,yes,yes
API-068,POST,/api/alerts/broadcast-summary,alerts,speak summary,yes,yes
API-069,GET,/api/assets,asset-forge,asset library,yes,yes
API-070,GET,/api/assets/:id,asset-forge,asset detail,yes,yes
API-071,POST,/api/assets/image/generate,asset-forge,GPT Image 2 text-to-image,yes,yes
API-072,POST,/api/assets/image/edit,asset-forge,GPT Image 2 image edit,yes,yes
API-073,POST,/api/assets/glb/text-to-3d,asset-forge,Tripo text-to-3D,yes,yes
API-074,POST,/api/assets/glb/image-to-3d,asset-forge,Tripo image-to-3D,yes,yes
API-075,POST,/api/assets/glb/optimize,asset-forge,compress/LOD/texture optimize,yes,yes
API-076,POST,/api/assets/:id/approve,asset-forge,approve asset,yes,yes
API-077,POST,/api/assets/:id/add-to-scene,asset-forge,add GLB/image to scene,yes,yes
API-078,DELETE,/api/assets/:id,asset-forge,delete/archive asset,yes,yes
API-079,GET,/api/settings/approval-matrix,settings,approval rules,yes,yes
API-080,PUT,/api/settings/approval-matrix,settings,update approval rules,yes,yes
API-081,GET,/api/settings/budgets,settings,budget limits,yes,yes
API-082,PUT,/api/settings/budgets,settings,update budgets,yes,yes
