edge_id,source_node,target_node,edge_type,description,weight,evidence_type,flow_layer
EDGE-00160,Cryosphere,Measurement,MAPS_TO_OBJECT,Cryosphere maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00161,Cryosphere,AuditRecord,MAPS_TO_OBJECT,Cryosphere maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00162,Earth systems,Atmosphere,HAS_NICHE,Atmosphere is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00163,Atmosphere,AF06,ACQUIRED_BY,Atmosphere data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00164,Atmosphere,AF02,ACQUIRED_BY,Atmosphere data can be acquired via AF02,0.65,acquisition mapping,source acquisition
EDGE-00165,Atmosphere,AF15,ACQUIRED_BY,Atmosphere data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00166,Atmosphere,Place,MAPS_TO_OBJECT,Atmosphere maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00167,Atmosphere,Event,MAPS_TO_OBJECT,Atmosphere maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00168,Atmosphere,Measurement,MAPS_TO_OBJECT,Atmosphere maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00169,Atmosphere,AuditRecord,MAPS_TO_OBJECT,Atmosphere maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00170,Earth systems,Earth observation,HAS_NICHE,Earth observation is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00171,Earth observation,AF04,ACQUIRED_BY,Earth observation data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00172,Earth observation,AF07,ACQUIRED_BY,Earth observation data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00173,Earth observation,AF08,ACQUIRED_BY,Earth observation data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00174,Earth observation,Place,MAPS_TO_OBJECT,Earth observation maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00175,Earth observation,Event,MAPS_TO_OBJECT,Earth observation maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00176,Earth observation,Measurement,MAPS_TO_OBJECT,Earth observation maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00177,Earth observation,AuditRecord,MAPS_TO_OBJECT,Earth observation maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00178,Earth systems,Natural hazards,HAS_NICHE,Natural hazards is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00179,Natural hazards,AF19,ACQUIRED_BY,Natural hazards data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00180,Natural hazards,AF11,ACQUIRED_BY,Natural hazards data can be acquired via AF11,0.65,acquisition mapping,source acquisition
EDGE-00181,Natural hazards,AF15,ACQUIRED_BY,Natural hazards data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00182,Natural hazards,Place,MAPS_TO_OBJECT,Natural hazards maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00183,Natural hazards,Event,MAPS_TO_OBJECT,Natural hazards maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00184,Natural hazards,Measurement,MAPS_TO_OBJECT,Natural hazards maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00185,Natural hazards,AuditRecord,MAPS_TO_OBJECT,Natural hazards maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00186,Earth systems,Environmental baselines,HAS_NICHE,Environmental baselines is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00187,Environmental baselines,AF17,ACQUIRED_BY,Environmental baselines data can be acquired via AF17,0.65,acquisition mapping,source acquisition
EDGE-00188,Environmental baselines,AF12,ACQUIRED_BY,Environmental baselines data can be acquired via AF12,0.65,acquisition mapping,source acquisition
EDGE-00189,Environmental baselines,AF20,ACQUIRED_BY,Environmental baselines data can be acquired via AF20,0.65,acquisition mapping,source acquisition
EDGE-00190,Environmental baselines,Place,MAPS_TO_OBJECT,Environmental baselines maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00191,Environmental baselines,Event,MAPS_TO_OBJECT,Environmental baselines maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00192,Environmental baselines,Measurement,MAPS_TO_OBJECT,Environmental baselines maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00193,Environmental baselines,AuditRecord,MAPS_TO_OBJECT,Environmental baselines maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00194,Earth systems,Models/simulations,HAS_NICHE,Models/simulations is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00195,Models/simulations,AF03,ACQUIRED_BY,Models/simulations data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00196,Models/simulations,AF15,ACQUIRED_BY,Models/simulations data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00197,Models/simulations,AF19,ACQUIRED_BY,Models/simulations data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00198,Models/simulations,Place,MAPS_TO_OBJECT,Models/simulations maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00199,Models/simulations,Event,MAPS_TO_OBJECT,Models/simulations maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00200,Models/simulations,Measurement,MAPS_TO_OBJECT,Models/simulations maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00201,Models/simulations,AuditRecord,MAPS_TO_OBJECT,Models/simulations maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00202,Geography & location,Countries/regions,HAS_NICHE,Countries/regions is a niche under Geography & location,0.7,taxonomy,taxonomy
EDGE-00203,Countries/regions,AF04,ACQUIRED_BY,Countries/regions data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00204,Countries/regions,AF07,ACQUIRED_BY,Countries/regions data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00205,Countries/regions,AF08,ACQUIRED_BY,Countries/regions data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00206,Countries/regions,Place,MAPS_TO_OBJECT,Countries/regions maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00207,Countries/regions,Event,MAPS_TO_OBJECT,Countries/regions maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00208,Countries/regions,Measurement,MAPS_TO_OBJECT,Countries/regions maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00209,Countries/regions,AuditRecord,MAPS_TO_OBJECT,Countries/regions maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00210,Geography & location,Addresses,HAS_NICHE,Addresses is a niche under Geography & location,0.7,taxonomy,taxonomy
EDGE-00211,Addresses,AF03,ACQUIRED_BY,Addresses data can be acquired via AF03,0.65,acquisition mapping,source acquisition
