cell_id,master_topic_id,master_topic,master_topic_purpose,universal_niche_id,universal_niche,topic_specific_niche,operational_meaning,primary_acquisition_families,ontology_object_targets,core_flow,platforms,priority
CELL-0036,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N06,Entity relationships,Conservation,"How people, assets, events and systems connect.","AF06, AF02, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0037,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N07,Event / incident feed,Invasive species,What changed or triggered action.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0038,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N08,Risk / compliance layer,Environmental permits,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0039,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N09,Operational workflow,Monitoring networks,"What task, case, mission or business process follows.","AF17, AF12, AF20","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0040,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N10,Audit / provenance,Restoration,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0041,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N01,Live status,Climate indicators,What is happening now.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0042,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N02,Historical archive,Fire,What happened before.,"AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0043,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N03,Forecast / prediction,Flood,What is likely to happen.,"AF18, AF08, AF16","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0044,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N04,Registry / catalogue,Drought,What exists and how it is identified.,"AF01, AF06, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0045,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N05,Geospatial layer,Cyclones/storms,Where it is.,"AF05, AF09","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0046,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N06,Entity relationships,Tsunami/surge,"How people, assets, events and systems connect.","AF06, AF02, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0047,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N07,Event / incident feed,Heatwaves,What changed or triggered action.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0048,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N08,Risk / compliance layer,Disaster impacts,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0049,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N09,Operational workflow,Risk models,"What task, case, mission or business process follows.","AF17, AF12, AF20","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0050,T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks.",N10,Audit / provenance,Resilience projects,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0051,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N01,Live status,Taxonomy,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0052,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N02,Historical archive,Genetics,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0053,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N03,Forecast / prediction,Proteins,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0054,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N04,Registry / catalogue,Microbiology,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0055,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N05,Geospatial layer,Plants,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0056,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N06,Entity relationships,Animals,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0057,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N07,Event / incident feed,Evolution,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0058,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N08,Risk / compliance layer,Physiology,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0059,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N09,Operational workflow,Bioinformatics,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0060,T006,Life & biology,"Model organisms, genetics, microbiology and biological systems.",N10,Audit / provenance,Lab systems,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0061,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N01,Live status,Anatomy,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0062,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N02,Historical archive,Disease,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0063,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N03,Forecast / prediction,Medicines,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0064,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N04,Registry / catalogue,Devices,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0065,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N05,Geospatial layer,Vaccines,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0066,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N06,Entity relationships,Hospitals,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0067,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N07,Event / incident feed,Labs,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0068,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N08,Risk / compliance layer,Epidemiology,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0069,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N09,Operational workflow,Public health,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0070,T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge.",N10,Audit / provenance,Research,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0071,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N01,Live status,Census,What is happening now.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0072,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N02,Historical archive,Public figures,What happened before.,"AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0073,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N03,Forecast / prediction,Workforce,What is likely to happen.,"AF18, AF08, AF16","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0074,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N04,Registry / catalogue,Migration,What exists and how it is identified.,"AF01, AF06, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0075,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N05,Geospatial layer,Households,Where it is.,"AF05, AF09","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0076,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N06,Entity relationships,Education,"How people, assets, events and systems connect.","AF06, AF02, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0077,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N07,Event / incident feed,Health demographics,What changed or triggered action.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0078,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N08,Risk / compliance layer,Social indicators,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0079,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N09,Operational workflow,Mobility,"What task, case, mission or business process follows.","AF17, AF12, AF20","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0080,T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators.",N10,Audit / provenance,Identity resolution,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0081,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N01,Live status,Languages,What is happening now.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0082,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N02,Historical archive,Religion/culture,What happened before.,"AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0083,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N03,Forecast / prediction,Heritage,What is likely to happen.,"AF18, AF08, AF16","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0084,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N04,Registry / catalogue,Arts,What exists and how it is identified.,"AF01, AF06, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0085,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N05,Geospatial layer,Media,Where it is.,"AF05, AF09","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0086,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N06,Entity relationships,Literature,"How people, assets, events and systems connect.","AF06, AF02, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0087,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N07,Event / incident feed,Music/film,What changed or triggered action.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0088,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N08,Risk / compliance layer,Events,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0089,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N09,Operational workflow,Community services,"What task, case, mission or business process follows.","AF17, AF12, AF20","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0090,T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures.",N10,Audit / provenance,Cultural policy,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0091,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N01,Live status,Schools,What is happening now.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
