mood,feeling,intensity,anim,vfx,dialogue_tone,face,llm_prompt
exhausted,love,0.85,rest,vfx_glow,fervent,smile,"Write a line of inner monologue for a minion who is exhausted and feels love. One sentence, in character."
exhausted,ambition,0.7,rest,vfx_tear,weary,wide_eyed,"Write a line of inner monologue for a minion who is exhausted and feels ambition. One sentence, in character."
exhausted,curiosity,0.93,rest,vfx_tear,exultant,clenched,"Write a line of inner monologue for a minion who is exhausted and feels curiosity. One sentence, in character."
exhausted,despair,0.76,rest,,tender,serene,"Write a line of inner monologue for a minion who is exhausted and feels despair. One sentence, in character."
exhausted,awe,0.44,rest,vfx_tear,measured,serene,"Write a line of inner monologue for a minion who is exhausted and feels awe. One sentence, in character."
exhausted,resolve,0.63,rest,vfx_glow,bitter,smile,"Write a line of inner monologue for a minion who is exhausted and feels resolve. One sentence, in character."
exhausted,doubt,0.85,rest,vfx_spark,fervent,smile,"Write a line of inner monologue for a minion who is exhausted and feels doubt. One sentence, in character."
exhausted,triumph,0.9,rest,vfx_aura,weary,smile,"Write a line of inner monologue for a minion who is exhausted and feels triumph. One sentence, in character."
exhausted,longing,0.68,rest,,tender,neutral,"Write a line of inner monologue for a minion who is exhausted and feels longing. One sentence, in character."
despairing,joy,0.84,rest,vfx_aura,tender,smile,"Write a line of inner monologue for a minion who is despairing and feels joy. One sentence, in character."
despairing,grief,0.98,rest,vfx_tear,weary,wide_eyed,"Write a line of inner monologue for a minion who is despairing and feels grief. One sentence, in character."
despairing,pride,0.62,rest,vfx_aura,hollow,frown,"Write a line of inner monologue for a minion who is despairing and feels pride. One sentence, in character."
despairing,envy,0.78,rest,vfx_glow,weary,downcast,"Write a line of inner monologue for a minion who is despairing and feels envy. One sentence, in character."
despairing,wonder,0.57,rest,vfx_spark,exultant,serene,"Write a line of inner monologue for a minion who is despairing and feels wonder. One sentence, in character."
despairing,fear,0.9,rest,,hollow,smile,"Write a line of inner monologue for a minion who is despairing and feels fear. One sentence, in character."
despairing,love,0.82,rest,vfx_glow,weary,serene,"Write a line of inner monologue for a minion who is despairing and feels love. One sentence, in character."
despairing,ambition,0.49,rest,vfx_tear,fervent,serene,"Write a line of inner monologue for a minion who is despairing and feels ambition. One sentence, in character."
despairing,curiosity,0.53,rest,vfx_tear,fervent,downcast,"Write a line of inner monologue for a minion who is despairing and feels curiosity. One sentence, in character."
despairing,despair,0.81,rest,,exultant,neutral,"Write a line of inner monologue for a minion who is despairing and feels despair. One sentence, in character."
despairing,awe,0.59,rest,vfx_tear,bitter,frown,"Write a line of inner monologue for a minion who is despairing and feels awe. One sentence, in character."
despairing,resolve,0.94,rest,vfx_glow,weary,clenched,"Write a line of inner monologue for a minion who is despairing and feels resolve. One sentence, in character."
despairing,doubt,0.92,rest,vfx_spark,measured,wide_eyed,"Write a line of inner monologue for a minion who is despairing and feels doubt. One sentence, in character."
despairing,triumph,0.66,rest,vfx_aura,weary,neutral,"Write a line of inner monologue for a minion who is despairing and feels triumph. One sentence, in character."
despairing,longing,0.73,rest,,fervent,frown,"Write a line of inner monologue for a minion who is despairing and feels longing. One sentence, in character."
