interaction,verb,mood,science,effects,anim_a,anim_b,llm_prompt
mentor,teaches,flow,earth,"knowledge+,bond+",talk,talk,"Two minions in the earth guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,ecology,"knowledge+,bond+",talk,talk,"Two minions in the ecology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,economics,"knowledge+,bond+",talk,talk,"Two minions in the economics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,electrochem,"knowledge+,bond+",talk,talk,"Two minions in the electrochem guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,electronics,"knowledge+,bond+",talk,talk,"Two minions in the electronics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,engineering,"knowledge+,bond+",talk,talk,"Two minions in the engineering guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,epidemiology,"knowledge+,bond+",talk,talk,"Two minions in the epidemiology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,fluids,"knowledge+,bond+",talk,talk,"Two minions in the fluids guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,foodscience,"knowledge+,bond+",talk,talk,"Two minions in the foodscience guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,forestry,"knowledge+,bond+",talk,talk,"Two minions in the forestry guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,geodesy,"knowledge+,bond+",talk,talk,"Two minions in the geodesy guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,geology,"knowledge+,bond+",talk,talk,"Two minions in the geology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,geotechnical,"knowledge+,bond+",talk,talk,"Two minions in the geotechnical guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,heattransfer,"knowledge+,bond+",talk,talk,"Two minions in the heattransfer guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,hydrogeology,"knowledge+,bond+",talk,talk,"Two minions in the hydrogeology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,hydrology,"knowledge+,bond+",talk,talk,"Two minions in the hydrology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,immunology,"knowledge+,bond+",talk,talk,"Two minions in the immunology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,linguistics,"knowledge+,bond+",talk,talk,"Two minions in the linguistics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,materials,"knowledge+,bond+",talk,talk,"Two minions in the materials guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,math,"knowledge+,bond+",talk,talk,"Two minions in the math guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,medicine,"knowledge+,bond+",talk,talk,"Two minions in the medicine guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,metallurgy,"knowledge+,bond+",talk,talk,"Two minions in the metallurgy guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,neuro,"knowledge+,bond+",talk,talk,"Two minions in the neuro guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,nuclear,"knowledge+,bond+",talk,talk,"Two minions in the nuclear guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,ocean,"knowledge+,bond+",talk,talk,"Two minions in the ocean guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,optics,"knowledge+,bond+",talk,talk,"Two minions in the optics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,pharmacology,"knowledge+,bond+",talk,talk,"Two minions in the pharmacology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,photovoltaics,"knowledge+,bond+",talk,talk,"Two minions in the photovoltaics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,physics,"knowledge+,bond+",talk,talk,"Two minions in the physics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,plasma,"knowledge+,bond+",talk,talk,"Two minions in the plasma guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,polymer,"knowledge+,bond+",talk,talk,"Two minions in the polymer guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,qcomputing,"knowledge+,bond+",talk,talk,"Two minions in the qcomputing guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,quantum,"knowledge+,bond+",talk,talk,"Two minions in the quantum guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,rf,"knowledge+,bond+",talk,talk,"Two minions in the rf guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,robotics,"knowledge+,bond+",talk,talk,"Two minions in the robotics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,seismology,"knowledge+,bond+",talk,talk,"Two minions in the seismology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,semiconductor,"knowledge+,bond+",talk,talk,"Two minions in the semiconductor guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,signal,"knowledge+,bond+",talk,talk,"Two minions in the signal guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,spectroscopy,"knowledge+,bond+",talk,talk,"Two minions in the spectroscopy guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,statmech,"knowledge+,bond+",talk,talk,"Two minions in the statmech guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,structural,"knowledge+,bond+",talk,talk,"Two minions in the structural guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,tribology,"knowledge+,bond+",talk,talk,"Two minions in the tribology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,veterinary,"knowledge+,bond+",talk,talk,"Two minions in the veterinary guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,acoustics,"knowledge+,bond+",talk,talk,"Two minions in the acoustics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,aerodynamics,"knowledge+,bond+",talk,talk,"Two minions in the aerodynamics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,agronomy,"knowledge+,bond+",talk,talk,"Two minions in the agronomy guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,astronomy,"knowledge+,bond+",talk,talk,"Two minions in the astronomy guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,atmoschem,"knowledge+,bond+",talk,talk,"Two minions in the atmoschem guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,biology,"knowledge+,bond+",talk,talk,"Two minions in the biology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,biomechanics,"knowledge+,bond+",talk,talk,"Two minions in the biomechanics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,chemistry,"knowledge+,bond+",talk,talk,"Two minions in the chemistry guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,combustion,"knowledge+,bond+",talk,talk,"Two minions in the combustion guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,control,"knowledge+,bond+",talk,talk,"Two minions in the control guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,crypto,"knowledge+,bond+",talk,talk,"Two minions in the crypto guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,crystallography,"knowledge+,bond+",talk,talk,"Two minions in the crystallography guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,cs_ai,"knowledge+,bond+",talk,talk,"Two minions in the cs_ai guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,earth,"knowledge+,bond+",talk,talk,"Two minions in the earth guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,ecology,"knowledge+,bond+",talk,talk,"Two minions in the ecology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,economics,"knowledge+,bond+",talk,talk,"Two minions in the economics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,electrochem,"knowledge+,bond+",talk,talk,"Two minions in the electrochem guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,electronics,"knowledge+,bond+",talk,talk,"Two minions in the electronics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,engineering,"knowledge+,bond+",talk,talk,"Two minions in the engineering guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,epidemiology,"knowledge+,bond+",talk,talk,"Two minions in the epidemiology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,fluids,"knowledge+,bond+",talk,talk,"Two minions in the fluids guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,foodscience,"knowledge+,bond+",talk,talk,"Two minions in the foodscience guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,forestry,"knowledge+,bond+",talk,talk,"Two minions in the forestry guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,geodesy,"knowledge+,bond+",talk,talk,"Two minions in the geodesy guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,geology,"knowledge+,bond+",talk,talk,"Two minions in the geology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,geotechnical,"knowledge+,bond+",talk,talk,"Two minions in the geotechnical guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,heattransfer,"knowledge+,bond+",talk,talk,"Two minions in the heattransfer guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,hydrogeology,"knowledge+,bond+",talk,talk,"Two minions in the hydrogeology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,hydrology,"knowledge+,bond+",talk,talk,"Two minions in the hydrology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,immunology,"knowledge+,bond+",talk,talk,"Two minions in the immunology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,linguistics,"knowledge+,bond+",talk,talk,"Two minions in the linguistics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,materials,"knowledge+,bond+",talk,talk,"Two minions in the materials guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,math,"knowledge+,bond+",talk,talk,"Two minions in the math guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,medicine,"knowledge+,bond+",talk,talk,"Two minions in the medicine guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,metallurgy,"knowledge+,bond+",talk,talk,"Two minions in the metallurgy guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,neuro,"knowledge+,bond+",talk,talk,"Two minions in the neuro guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,nuclear,"knowledge+,bond+",talk,talk,"Two minions in the nuclear guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,ocean,"knowledge+,bond+",talk,talk,"Two minions in the ocean guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,optics,"knowledge+,bond+",talk,talk,"Two minions in the optics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,pharmacology,"knowledge+,bond+",talk,talk,"Two minions in the pharmacology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,photovoltaics,"knowledge+,bond+",talk,talk,"Two minions in the photovoltaics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,physics,"knowledge+,bond+",talk,talk,"Two minions in the physics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,plasma,"knowledge+,bond+",talk,talk,"Two minions in the plasma guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,polymer,"knowledge+,bond+",talk,talk,"Two minions in the polymer guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,qcomputing,"knowledge+,bond+",talk,talk,"Two minions in the qcomputing guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,quantum,"knowledge+,bond+",talk,talk,"Two minions in the quantum guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,rf,"knowledge+,bond+",talk,talk,"Two minions in the rf guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,robotics,"knowledge+,bond+",talk,talk,"Two minions in the robotics guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,seismology,"knowledge+,bond+",talk,talk,"Two minions in the seismology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,semiconductor,"knowledge+,bond+",talk,talk,"Two minions in the semiconductor guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,signal,"knowledge+,bond+",talk,talk,"Two minions in the signal guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,spectroscopy,"knowledge+,bond+",talk,talk,"Two minions in the spectroscopy guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,statmech,"knowledge+,bond+",talk,talk,"Two minions in the statmech guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,structural,"knowledge+,bond+",talk,talk,"Two minions in the structural guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,tribology,"knowledge+,bond+",talk,talk,"Two minions in the tribology guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,inspired,veterinary,"knowledge+,bond+",talk,talk,"Two minions in the veterinary guild: A ({name_a}, inspired) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,acoustics,"knowledge+,bond+",talk,talk,"Two minions in the acoustics guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,aerodynamics,"knowledge+,bond+",talk,talk,"Two minions in the aerodynamics guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,agronomy,"knowledge+,bond+",talk,talk,"Two minions in the agronomy guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,astronomy,"knowledge+,bond+",talk,talk,"Two minions in the astronomy guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,atmoschem,"knowledge+,bond+",talk,talk,"Two minions in the atmoschem guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,biology,"knowledge+,bond+",talk,talk,"Two minions in the biology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,biomechanics,"knowledge+,bond+",talk,talk,"Two minions in the biomechanics guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,chemistry,"knowledge+,bond+",talk,talk,"Two minions in the chemistry guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,combustion,"knowledge+,bond+",talk,talk,"Two minions in the combustion guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,control,"knowledge+,bond+",talk,talk,"Two minions in the control guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,crypto,"knowledge+,bond+",talk,talk,"Two minions in the crypto guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,crystallography,"knowledge+,bond+",talk,talk,"Two minions in the crystallography guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,cs_ai,"knowledge+,bond+",talk,talk,"Two minions in the cs_ai guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,earth,"knowledge+,bond+",talk,talk,"Two minions in the earth guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,ecology,"knowledge+,bond+",talk,talk,"Two minions in the ecology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,economics,"knowledge+,bond+",talk,talk,"Two minions in the economics guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,electrochem,"knowledge+,bond+",talk,talk,"Two minions in the electrochem guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,electronics,"knowledge+,bond+",talk,talk,"Two minions in the electronics guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,engineering,"knowledge+,bond+",talk,talk,"Two minions in the engineering guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,epidemiology,"knowledge+,bond+",talk,talk,"Two minions in the epidemiology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,fluids,"knowledge+,bond+",talk,talk,"Two minions in the fluids guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,foodscience,"knowledge+,bond+",talk,talk,"Two minions in the foodscience guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,forestry,"knowledge+,bond+",talk,talk,"Two minions in the forestry guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,geodesy,"knowledge+,bond+",talk,talk,"Two minions in the geodesy guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,geology,"knowledge+,bond+",talk,talk,"Two minions in the geology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,geotechnical,"knowledge+,bond+",talk,talk,"Two minions in the geotechnical guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,heattransfer,"knowledge+,bond+",talk,talk,"Two minions in the heattransfer guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,hydrogeology,"knowledge+,bond+",talk,talk,"Two minions in the hydrogeology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,hydrology,"knowledge+,bond+",talk,talk,"Two minions in the hydrology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,content,immunology,"knowledge+,bond+",talk,talk,"Two minions in the immunology guild: A ({name_a}, content) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
