gap_id,category,plane,severity,gap,why_it_matters,current_v6_state,minimum_next_action,acceptance_evidence_required,v7_priority
GAP-0013,Data acquisition,Foundry,High,Coverage is broad but not proven complete by country/region/domain,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0014,Data acquisition,Foundry,Medium,No automated source health checker is running,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0015,Data acquisition,Foundry,Medium,No actual scheduled scraping/API/download jobs are executing,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0016,Data acquisition,Foundry,Critical,No connector error taxonomy mapped to remediation workflows,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0017,Data acquisition,Foundry,High,No source deprecation detector or endpoint schema drift detector,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0018,Data acquisition,Foundry,High,No real-world freshness SLA testing by source family,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0019,Data acquisition,Foundry,Medium,No verified robots.txt/terms register for each web/document source,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0020,Data acquisition,Foundry,Medium,No country-by-country public registry completeness matrix,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0021,Data engineering,Foundry,Critical,No physical Iceberg table catalog is deployed,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0022,Data engineering,Foundry,High,Bitemporal object model is specified but not used by live ingestion,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0023,Data engineering,Foundry,High,No CDC ingestion layer for enterprise systems,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0024,Data engineering,Foundry,Medium,No schema registry deployment for Protobuf/Avro/JSON Schema,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0025,Data engineering,Foundry,Medium,No raw/bronze/silver/gold storage lifecycle policy,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0026,Data engineering,Foundry,Critical,No object-store retention tiering policy by domain,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0027,Data engineering,Foundry,High,No data backfill orchestration for historical archives,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0028,Data engineering,Foundry,High,No duplicate detection at billion-row scale,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0029,Data engineering,Foundry,Medium,No unit normalisation library bound to parsers,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0030,Data engineering,Foundry,Medium,No geospatial projection normalisation service,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0031,Ontology and graph,Foundry/Gotham/AIP,Critical,Object schemas exist but are generic and need domain-specific property depth,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0032,Ontology and graph,Foundry/Gotham/AIP,High,Relationship types exist but cardinality and constraints are not tailored per object pair,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0033,Ontology and graph,Foundry/Gotham/AIP,High,No graph database has been loaded and benchmarked,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0034,Ontology and graph,Foundry/Gotham/AIP,Medium,No entity resolution scoring model is implemented,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0035,Ontology and graph,Foundry/Gotham/AIP,Medium,No human adjudication UI for merge/split decisions,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0036,Ontology and graph,Foundry/Gotham/AIP,Critical,No graph versioning/branching/sandbox universe runtime,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0037,Ontology and graph,Foundry/Gotham/AIP,High,No graph query planner with cost controls,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0038,Ontology and graph,Foundry/Gotham/AIP,High,No graph permission enforcement tests across link traversal,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0039,Ontology and graph,Foundry/Gotham/AIP,Medium,No graph edge confidence decay/refresh logic,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0040,Ontology and graph,Foundry/Gotham/AIP,Medium,No validated cause/effect DAG by domain expert review,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0041,Vector and retrieval,AIP/Foundry,Critical,Vector namespaces are defined but embeddings are not generated,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0042,Vector and retrieval,AIP/Foundry,High,"No embedding model is selected, evaluated or governed",This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0043,Vector and retrieval,AIP/Foundry,High,No reranker implementation is connected,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0044,Vector and retrieval,AIP/Foundry,Medium,No vector payload indexes are actually created,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0045,Vector and retrieval,AIP/Foundry,Medium,No citation-grounded retrieval evaluation is executed,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0046,Vector and retrieval,AIP/Foundry,Critical,No namespace isolation tests are running,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0047,Vector and retrieval,AIP/Foundry,High,No retrieval permission filter has been proven end-to-end,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0048,Vector and retrieval,AIP/Foundry,High,No vector drift monitoring exists,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0049,Vector and retrieval,AIP/Foundry,Medium,No embedding refresh policy after source/object changes,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0050,Vector and retrieval,AIP/Foundry,Medium,No GraphRAG query execution service is deployed,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0051,UI/UX and visualisation,Gotham/Jarvis,Critical,Reference UI exists but production WebGPU/WebGL renderer is not implemented,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0052,UI/UX and visualisation,Gotham/Jarvis,High,WASM physics worker boundary exists but no Rust/C++ layout engine binary,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0053,UI/UX and visualisation,Gotham/Jarvis,High,GPU color picking contract exists but no offscreen framebuffer renderer implementation,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0054,UI/UX and visualisation,Gotham/Jarvis,Medium,CRDT collaboration spec exists but not connected to Yjs/Automerge persistence,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0055,UI/UX and visualisation,Gotham/Jarvis,Medium,Sound/effects registries exist but audio engine is not integrated into UI state,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0056,UI/UX and visualisation,Gotham/Jarvis,Critical,Window/modal registry exists but not all modals have implemented components,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0057,UI/UX and visualisation,Gotham/Jarvis,High,No map tile backend is connected,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0058,UI/UX and visualisation,Gotham/Jarvis,High,No 3D globe/topology renderer is connected to real datasets,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0059,UI/UX and visualisation,Gotham/Jarvis,Medium,No user-tested information architecture results,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0060,UI/UX and visualisation,Gotham/Jarvis,Medium,No accessibility audit report from real browser testing,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0061,Security and policy,All,Critical,SSO/MFA/workload identity is specified but not deployed,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0062,Security and policy,All,High,OPA/Rego templates exist but not wired to every API/action/query,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0063,Security and policy,All,High,Object/property/action-level permissions are not tested end-to-end,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0064,Security and policy,All,Medium,SharedArrayBuffer/WebGPU security headers are specified but not deployed,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0065,Security and policy,All,Medium,No secrets manager integration,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0066,Security and policy,All,Critical,No key/certificate rotation workflow,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0067,Security and policy,All,High,No privileged access management workflow,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0068,Security and policy,All,High,No data export control enforcement service,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0069,Security and policy,All,Medium,No red-team prompt injection test harness against Jarvis,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0070,Security and policy,All,Medium,No policy decision audit coverage report,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0071,Apollo/runtime operations,Apollo,Critical,No node agent binary exists,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0072,Apollo/runtime operations,Apollo,High,No rollout planner service exists,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0073,Apollo/runtime operations,Apollo,High,No health gate evaluator service exists,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0074,Apollo/runtime operations,Apollo,Medium,No rollback engine has been implemented,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0075,Apollo/runtime operations,Apollo,Medium,No SBOM/CVE gate connected to CI/CD,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0076,Apollo/runtime operations,Apollo,Critical,No drift detector reading actual node state,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0077,Apollo/runtime operations,Apollo,High,No offline bundle signer/verifier,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0078,Apollo/runtime operations,Apollo,High,No environment constraint solver,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0079,Apollo/runtime operations,Apollo,Medium,No deployment blast-radius calculator,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0080,Apollo/runtime operations,Apollo,Medium,No service dependency graph reconciliation,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0081,Testing and validation,All,Critical,"Test files are placeholders or smoke scaffolds, not comprehensive test suites",This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0082,Testing and validation,All,High,No integration test environment,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0083,Testing and validation,All,High,No performance test harness for 50k/250k/1M graph objects,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0084,Testing and validation,All,Medium,No chaos testing for connector failures,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0085,Testing and validation,All,Medium,No data quality regression test execution,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0086,Testing and validation,All,Critical,No AI eval baseline results,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0087,Testing and validation,All,High,No real source parser golden dataset,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0088,Testing and validation,All,High,No browser compatibility test matrix,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0089,Testing and validation,All,Medium,No load testing for websocket/protobuf streams,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0090,Testing and validation,All,Medium,No recovery drills for audit/log corruption,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0091,Standards and compliance,All,Critical,"ISO/NIST docs are mappings, not audited control evidence",This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0092,Standards and compliance,All,High,No control owner register,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0093,Standards and compliance,All,High,No evidence collection automation,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0094,Standards and compliance,All,Medium,No data retention implementation per jurisdiction,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0095,Standards and compliance,All,Medium,No privacy impact assessment templates completed,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0096,Standards and compliance,All,Critical,No AI model risk classification per workflow,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0097,Standards and compliance,All,High,No records of processing activity,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
