acquisition_point_id,base_id,name,source_strategy,ontology_object,cause_input,effect_output,foundry_use,gotham_use,apollo_use,aip_use,vector_namespace,graph_edges,quality_gates,policy_controls,user_interaction,backend_flow
AP-00012,PA0012,Radiation monitoring anomaly / live feed / global,EPA RadNet + Safecast,RadiationMeasurement,Radiation increase triggers safety and source verification,Radiation response,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.radiationmeasurement,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00013,PA0013,Air quality PM2.5 exceedance / live feed / global,OpenAQ + EPA AirNow,AirQualityMeasurement,Pollutant rise affects public health/workforce,Health alert,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.airqualitymeasurement,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00014,PA0014,AIS vessel anomaly near port / live feed / global,MarineCadastre/AIS licensed,VesselMovement,Unexpected vessel movement affects port/security/logistics,Maritime triage,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.vesselmovement,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00015,PA0015,ADS-B aircraft diversion pattern / live feed / global,OpenSky licensed/public,AircraftMovement,Flight deviation affects airspace/airport ops,Aviation ops,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.aircraftmovement,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00016,PA0016,NOTAM operational restriction / live feed / global,FAA/ICAO data,AirspaceRestriction,NOTAM constrains aviation routes and missions,Flight planning,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.airspacerestriction,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00017,PA0017,Port/wharf water level and tide / live feed / global,NOAA CO-OPS,WaterLevelMeasurement,Water level affects berth/wharf operations,Port ops,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.waterlevelmeasurement,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00018,PA0018,BGP route leak or hijack signal / live feed / global,BGPStream/RIPEstat,CyberNetworkEvent,Routing anomaly affects communications and cyber posture,Cyber incident,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.cybernetworkevent,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00019,PA0019,Certificate transparency suspicious issue / live feed / global,crt.sh/Censys licensed,CertificateEvent,New cert affects domain trust/infrastructure risk,Cyber investigation,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.certificateevent,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00020,PA0020,Known exploited vulnerability update / live feed / global,CISA KEV/NVD,Vulnerability,New KEV changes remediation priority,Patch workflow,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.vulnerability,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00021,PA0021,Company filing material event / live feed / global,SEC EDGAR,CompanyFiling,Filing changes corporate risk and entity profile,Due diligence,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.companyfiling,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00022,PA0022,Beneficial ownership update / live feed / global,OpenOwnership/GLEIF,OwnershipRelationship,Ownership change affects sanctions/procurement risk,Compliance review,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.ownershiprelationship,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00023,PA0023,Sanctions list update / live feed / global,OFAC/UN/OpenSanctions,SanctionedEntity,Sanction changes permissible transactions/actions,Screening workflow,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.sanctionedentity,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00024,PA0024,Public procurement award change / live feed / global,SAM.gov/TED/USASpending,ProcurementRecord,Award updates supplier network and public spend graph,Procurement analysis,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.procurementrecord,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00025,PA0025,Legislation/regulation update / live feed / global,Federal Register/EUR-Lex/legislation.gov.uk,LegalInstrument,Rule change constrains workflows/actions,Compliance workflow,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.legalinstrument,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00026,PA0001,Space weather geomagnetic storm nowcast / historical archive / global,NOAA SWPC + NASA DONKI,SpaceWeatherEvent,Geomagnetic storm raises GNSS/radio/grid risk,Grid/Aviation/Satellite workflows,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.spaceweatherevent,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00027,PA0002,Solar proton event aviation radiation risk / historical archive / global,NOAA SWPC + NASA DONKI,RadiationMeasurement,Solar radiation changes polar aviation exposure,Aviation route/risk workflow,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.radiationmeasurement,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00028,PA0003,Near-earth object impact watch / historical archive / global,NASA NEO + JPL SBDB,SpaceObject,NEO approach changes impact risk,Planetary defence briefing,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.spaceobject,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00029,PA0004,Gamma-ray burst transient alert / historical archive / global,GCN + HEASARC,AstronomicalEvent,GRB alert drives scientific/space situational awareness,Science watch workflow,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.astronomicalevent,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00030,PA0005,Global buoy wave-height anomaly / historical archive / global,NOAA NDBC + Copernicus Marine,BuoyObservation,Extreme wave changes maritime risk,Port/maritime alert,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.buoyobservation,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00031,PA0006,Major city weather live observations / historical archive / global,NOAA/MET APIs,WeatherObservation,Weather nowcast impacts logistics and emergency ops,City operations alert,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.weatherobservation,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00032,PA0007,Tsunami warning feed / historical archive / global,NOAA PTWC/Tsunami.gov,TsunamiWarning,Seismic/ocean triggers coastal evacuation risk,Emergency workflow,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.tsunamiwarning,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
AP-00033,PA0008,Cyclone/hurricane track update / historical archive / global,NHC/JTWC,CycloneTrack,Track shift changes exposed assets and populations,Response planning,"ingest, validate, lineage, ontology-map, object/link materialisation","operational picture, investigation, timeline, map, workflow/case tasking where applicable",deploy and monitor connector/parser/model/policy runtime with health gates,"permission-filtered context, causal explanation, action proposal, citation/evidence trace",world.priority.cyclonetrack,DERIVED_FROM; OBSERVED_AT; AFFECTS; TRIGGERS; GOVERNED_BY; EVIDENCED_BY; AUDITED_BY,schema_valid; freshness_sla; source_reachability; anomaly_bounds; provenance_complete; terms_approved,source_terms; classification; object_read; action_execution; export_control; ai_context_filter,"operator sees live card, map/timeline layer, evidence panel, causal impacts, recommended workflow and audit replay",connector -> raw storage -> parser -> quality gate -> ontology object -> graph/vector projection -> workflow/action -> audit
