id,category,asset_name,target_use,status,pbr_required,animation_required,lod_required,deliverable,notes
GLB-052,pipeline,Heavy Worker node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-053,pipeline,Underworld API node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-054,pipeline,Underworld Web node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-055,knowledge,Ontology lattice,knowledge graph hero,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-056,knowledge,Topic cube,topic object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-057,knowledge,Document shard,document object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-058,knowledge,Measurement droplet,measurement object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-059,knowledge,DataSource tower,data source object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-060,knowledge,Scientific publication book,publication object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-061,knowledge,Vulnerability hazard prism,security object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-062,knowledge,Asset cube,asset object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-063,knowledge,Place pin,place object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-064,knowledge,Event shockwave,event object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-065,knowledge,Cross-correlation loom,entity resolution visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-066,knowledge,Duplicate merge bridge,canonical merge visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-067,workspace_voice_assets,Claude chat bubble frame,Coding Workspace,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-068,workspace_voice_assets,Code terminal cube,Terminal tab,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-069,workspace_voice_assets,Browser window slab,Browser tab,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-070,workspace_voice_assets,File diff prism,Diff tab,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-071,workspace_voice_assets,Approval shield,approval workflow,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-072,workspace_voice_assets,Microphone orb,voice control,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-073,workspace_voice_assets,Waveform ribbon,voice visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-074,workspace_voice_assets,Alert siren beacon,alert center,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-075,workspace_voice_assets,Asset Forge machine,asset generator widget,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-076,workspace_voice_assets,Image generator tablet,text-to-image mode,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-077,workspace_voice_assets,GLB printer / 3D fabricator,text/image-to-3D mode,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-078,workspace_voice_assets,PBR material swatch sphere,material preview,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-079,optional,Low-poly brain fallback,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-080,optional,Low-poly globe fallback,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-081,optional,Mobile-safe GPU icon,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-082,optional,Mobile-safe server icon,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-083,optional,Extra pipeline badge set,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-084,optional,Extra tier badge set,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-085,optional,Solar panel prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-086,optional,Battery/inverter prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-087,optional,Fox ESS generic inverter prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-088,optional,Sigenergy generic battery prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-089,optional,DNSP substation prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-090,optional,Forum/community speech bubble prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-091,optional,GitHub issue card prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-092,optional,Compliance manual prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-093,optional,Clock/scheduler prop,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-094,optional,Snapshot/rollback vault,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-095,optional,Cost forecast coin stack,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-096,optional,Audit timeline ribbon,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-097,optional,Session replay camera orb,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-098,optional,Approval matrix chessboard,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-099,optional,Sleep Mode bed/moon scene,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-100,optional,Voice assistant headphones,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-101,optional,Data lake cylinder,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
GLB-102,optional,Backup/archive crate,optional polish/future mode,optional,yes,optional,yes,glb + thumbnail + texture maps + metadata,
