id,category,asset_name,target_panel_or_use,status,provider,must_contain_baked_text,deliverable,notes
IMG-022,panel_texture,Modal/dialog glass texture,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-023,logos_icons,JARVIS diamond logo mark,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-024,logos_icons,Tier 0 deterministic icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-025,logos_icons,Tier 1 micro model icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-026,logos_icons,Tier 2 base model icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-027,logos_icons,Tier 3 strong model icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-028,logos_icons,Tier 4 cold 70B vault icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-029,logos_icons,Tier 5 external authority icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-030,logos_icons,Vast GPU server icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-031,logos_icons,Hostinger VPS icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-032,logos_icons,Cross-correlation daemon icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-033,logos_icons,Claude coding workspace icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-034,logos_icons,Voice command mic icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-035,logos_icons,Sleep Mode moon icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-036,logos_icons,Asset Forge icon,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-037,vfx_sprites,Hologram edge glow sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-038,vfx_sprites,Selective bloom ring sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-039,vfx_sprites,Scanline overlay texture,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-040,vfx_sprites,Routing particle sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-041,vfx_sprites,Warning pulse sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-042,vfx_sprites,Critical alert pulse sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-043,vfx_sprites,Success confirmation pulse sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-044,vfx_sprites,Lens flare streak sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-045,vfx_sprites,Neuron pulse sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-046,vfx_sprites,Voice waveform sprite sheet,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-047,vfx_sprites,Map route trail sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-048,vfx_sprites,Button hover sparkle sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-049,vfx_sprites,Toggle energy sweep sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-050,vfx_sprites,Graph glint highlight sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-051,vfx_sprites,Data cube shimmer sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-052,vfx_sprites,SFX visualizer sprite,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-053,image_to_glb_reference,Neural brain GLB concept reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-054,image_to_glb_reference,Dual RTX 4090 GLB concept reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-055,image_to_glb_reference,Server rack GLB concept reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-056,image_to_glb_reference,Holographic globe GLB concept reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-057,image_to_glb_reference,Microphone orb GLB concept reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-058,image_to_glb_reference,Claude coding cube GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-059,image_to_glb_reference,Pipeline node GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-060,image_to_glb_reference,Document shard GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-061,image_to_glb_reference,Ontology lattice GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-062,image_to_glb_reference,Cold 70B vault GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-063,image_to_glb_reference,Router switch GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-064,image_to_glb_reference,Sleep Mode moon GLB reference,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-065,optional,Alternative warm amber theme background,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-066,optional,Alternative blue-cyber theme background,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-067,optional,Solar-company mode background,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-068,optional,Underworld game mode background,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-069,optional,Fallback low-end device background,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-070,optional,Legacy dashboard comparison screenshot frame,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-071,optional,Animated loading poster frame,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-072,optional,Empty-state illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-073,optional,No-data illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-074,optional,Critical incident poster,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-075,optional,Maintenance mode illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-076,optional,Voice onboarding illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-077,optional,Asset Forge tutorial illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-078,optional,Cross-correlation tutorial illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-079,optional,Router economics tutorial illustration,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-080,optional,Holographic map alternate style,optional upgrade / future theme,optional,gpt-image-2,false,png/webp + prompt + seed metadata,
